Kyle,Schwarber,WHACK,LF,-0.033064807054617722
Reymond,Fuentes,FA,CF,-0.030281690120279876
Jacob,Stallings,FA,C,-0.030224246521906861
Charlie,Culberson,FA,3B,-0.029662002019923677
Darin,Mastroianni,FA,CF,-0.029211279800069122
Clint,Robinson,FA,1B,-0.027732583911322665
Brandon,Nimmo,MICE,CF,-0.026452269138206797
Gary,Sanchez,BALK,C,-0.026452269138206797
Max,Stassi,FA,C,-0.026452269138206797
Josh,Phegley,FA,C,-0.025144645979312853
Jace,Peterson,FA,2B,-0.023971747781992809
Arismendy,Alcantara,FA,2B,-0.023321404429450906
Micah,Johnson,FA,2B,-0.019839201853655095
Tony,Cruz,FA,C,-0.019839201853655095
Matt,Tuiasosopo,FA,LF,-0.019839201853655095
Matt,Duffy,FA,3B,-0.019839201853655095
Darrell,Ceciliani,FA,CF,-0.019839201853655095
Rusney,Castillo,FISHFRY,RF,-0.019294198603521214
Jarrod,Dyson,BUSTERS,CF,-0.019161907413385627
Cole,Figueroa,FA,3B,-0.018811256195799844
Nick,Franklin,BALK,2B,-0.018791585784020345
Ryan,LaMarre,FA,CF,-0.017332669456452048
Pedro,Severino,FA,C,-0.014526364162737825
Mark,Canha,FA,1B,-0.014458151151080468
Chris,Taylor,FA,SS,-0.013278767059220556
Andres,Blanco,FA,3B,-0.010449203541032162
Rob,Refsnyder,FA,2B,-0.0082123966638623039
Andrew,Lambo,FA,RF,-0.0066130672845516993
Casey,McGehee,FA,3B,-0.0066130672845516993
Joey,Gallo,CORN,LF,-0.0066130672845516993
Brett,Lawrie,ICHI,3B,-0.0062879492783214259
Justin,Ruggiano,FA,RF,-0.0048529752738663756
Jason,Heyward,FISHFRY,RF,-0.0045996630487648658
Matt,Dekker,FA,CF,-0.0026828696716690455
Michael,Martinez,FA,SS,-0.0021933086155360975
Jett,Bandy,FA,C,-0.0019727111545278313
Denard,Span,AIDS,CF,-0.00030024604843634228
Terrance,Gore,FA,LF,0.0010592723489484827
Roberto,Perez,FA,C,0.0013480122466573285
A.J.,Reed,POLLOS,1B,0.0019349862280840103
Dee,Gordon,PWRS,2B,0.0036929244308984825
Trea,Turner,WHACK,2B,0.0055477308617931992
Oswaldo,Arcia,ICHI,RF,0.0071103412547730335
Danny,Santana,FA,SS,0.0078133692701801392
Justin,Upton,POLLOS,LF,0.0097429724302307286
Munenori,Kawasaki,FA,2B,0.010006840498720485
Alen,Hanson,BUSTERS,2B,0.010662157077163772
Tyler,Ladendorf,FA,LF,0.010664061037994509
Trevor,Brown,FA,C,0.017487867740585451
Jon,Jay,FA,CF,0.023966439074971424
Alex,Dickerson,FA,RF,0.026225286024975914
Brad,Miller,MICE,SS,0.027622397144888556
Ryan,Kalish,FA,CF,0.029924132422459278
Delino,DeShields,DIPA,CF,0.04117089909423112
Junior,Lake,FA,LF,0.046434632071881921
Peter,O'Brien,FA,LF,0.051469164723262781
Adam,Frazier,FA,SS,0.053340676970428845
Justin,Smoak,CHOICE,1B,0.053899283931782345
Matt,Reynolds,FA,SS,0.055179621523559763
Joey,Rickard,FA,CF,0.058910289841890208
Mac,Williamson,FA,RF,0.059274459844870092
Nolan,Reimold,FA,RF,0.061383614853334087
Socrates,Brito,FA,CF,0.062772682563652801
Chase,d'Arnaud,FA,SS,0.063033337546896634
Michael,Brantley,CORN,LF,0.066211873015579292
Bryce,Brentz,FA,LF,0.066734258859899129
Domingo,Santana,ICHI,RF,0.074026474832091252
Alex,Gordon,CORN,LF,0.076983394573627795
Robinson,Chirinos,WORKS,C,0.085962200118354287
