Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Bailey Falter,KCR,3.47376,3.46692,2.21525,4.63699,37.7277,5.12697,0,1.98715,0,66.2732,282.775,66.8596,37.1145,34.1453,10.3723,21.5135,0.238158,1.54659,48.8274,6.63083,2.92157,2.26961,1.40858,0.172672,0.0760802,0.096592195,0.257435,1.33347,0.281711,0.694074,,,4.7401,0.0742373,0.0303449,999,0.873923,-1.4957,0.437755,0.873923,1.4957,4.41633,225.2000000000001,3.412121212121214,234,3.5454545454545454,,,,,,,,,,,,,,,,,,,Bailey Falter,20070,663559
Braden Nett,ATH,1.19847,1.64839,1.31639,4.74577,12.3886,2.68763,0,0.637531,0,24.6781,110.109,24.8821,14.1445,13.013,3.04145,12.1626,0.358378,1.25141,20.5842,7.50696,4.43566,1.69241,1.1092,0.186943,0.110459,0.076483563,0.257324,1.50111,0.298901,0.69846,,,4.69979,0.0725403,0.0617385,999,1.92002,-1.60634,0.97247,1.92002,1.60634,3.70337,90.1,3.6039999999999996,93,3.72,,,,,,,,,,,,,,,,,,,Braden Nett,sa3020336,804556
Didier Fuentes,ATL,0.562158,1.73048,0.303814,5.12125,5.15601,1.74573,0,0.0567252,0,10.7807,47.3186,11.8262,6.66795,6.13451,1.83004,3.48742,0.107081,0.633269,10.2284,8.53896,2.91139,2.93295,1.52776,0.216161,0.0737008,0.14245972782373428,0.273767,1.42046,0.321011,0.678008,,,4.59105,0.0724021,-0.030039,999,4.79229,-0.612477,1.25234,4.79229,0.612477,3.33021,33.60000000000001,3.054545454545455,37,3.3636363636363638,,,,,,,,,,,,,,,,,,,Didier Fuentes,30661,800311
Austin Peterson,CLE,1.11104,1.69272,0.959207,4.53549,12.5691,2.88215,0,0.96698,0,25.9585,110.472,26.9425,14.2192,13.0816,4.11695,7.03044,0.311275,0.959377,18.9597,6.57347,2.4375,2.69681,1.42738,0.171625,0.0636402,0.10798509418964386,0.2629,1.30874,0.287457,0.70026,,,4.65951,0.066558,0.0774882,999,0.594192,-1.16739,1.10278,0.594192,1.16739,3.52962,90.99999999999999,3.4999999999999996,96,3.6923076923076925,,,,,,,,,,,,,,,,,,,Austin Peterson,sa3020868,804926
Matt Waldron,SDP,0.746261,1.54092,0.914955,4.91947,4.25419,3.44272,0,0.0302566,0,18.0891,78.1976,18.5984,10.7475,9.88766,2.90201,6.32557,0.101899,0.634236,14.0098,6.97038,3.1472,2.21479,1.44385,0.179159,0.080892,0.098266847,0.261075,1.37784,0.28893,0.679565,,,4.82598,0.0657738,0.0129109,999,2.6938,-1.55297,1.16009,2.6938,1.55297,3.45321,53.90000000000001,2.9944444444444454,58,3.2222222222222223,,,,,,,,,,,,,,,,,,,Matt Waldron,25550,663362
Nestor Cortes,,1.17437,0.884844,0.718155,4.49557,2.81385,2.59448,0,0,0,13.341,55.701,12.1584,7.2434,6.66393,2.49319,4.25754,0.0485316,0.462758,11.5633,7.80074,2.87219,2.71595,1.68194,0.207596,0.0764357,0.13116013258695602,0.238491,1.23049,0.261759,0.709649,,,4.89256,0.0650224,0.109375,999,1.88413,0.104233,1.26261,1.88413,-0.104233,3.31652,52.39999999999999,4.030769231,51,3.923076923076923,,,,,,,,,,,,,,,,,,,Nestor Cortes,17874,641482
Pete Hansen,STL,0.118335,0.521582,0.499701,4.67094,1.55651,1.55651,0,0,0,7.95891,34.5824,8.53986,4.48981,4.13062,1.09869,2.6775,0.0565304,0.204577,5.20467,5.88548,3.02774,1.94385,1.2424,0.150501,0.0774238,0.073076867,0.269394,1.40941,0.292995,0.695052,,,4.70819,0.0529294,0.0984272,999,0.834091,0.812367,1.37646,0.834091,-0.812367,3.16472,24.500000000000007,3.062500000000001,28,3.5,,,,,,,,,,,,,,,,,,,Pete Hansen,sa3020798,677337
Sean Sullivan,COL,0.0807575,0.805671,0.56273,5.29368,1.52214,1.52214,0,0,0,7.7334,33.4498,8.42359,4.94422,4.54868,1.39406,2.33796,0.0299835,0.184077,5.67344,6.60265,2.72088,2.42666,1.62239,0.16961,0.0698946,0.099715807,0.272363,1.39157,0.294612,0.66032,,,4.98969,0.0503294,0.063128,999,0.607099,-0.922358,1.35951,0.607099,0.922358,3.18732,32.10000000000001,4.012500000000001,33,4.125,,,,,,,,,,,,,,,,,,,Sean Sullivan,sa3023162,807743
Luis Perales,WSN,1.40115,1.43911,0.869693,4.38653,14.1078,2.20097,0,0.769745,0,23.5386,103.202,21.5642,12.4702,11.4726,3.09171,12.0225,0.351693,1.11795,22.1391,8.46488,4.59679,1.84147,1.18212,0.214522,0.116494,0.098027132,0.239439,1.42688,0.284934,0.721728,,,4.6363,0.0464929,0.177658,999,0.510895,-0.113319,1.0283,0.510895,0.113319,3.62893,92.50000000000001,3.8541666666666674,90,3.75,,,,,,,,,,,,,,,,,,,Luis Perales,sa3014677,691384
Sam Aldegheri,LAA,1.92684,3.09535,1.66265,5.23433,9.26471,6.06607,0,0.0929797,1.60272,37.7583,169.129,38.8403,23.8694,21.9599,6.06751,17.5385,0.272635,2.87366,28.7184,6.84526,4.18045,1.63745,1.44624,0.169802,0.103699,0.066102669,0.26117,1.49315,0.287655,0.678915,,,5.32478,0.0431505,-0.0616292,999,1.4865,0.793167,0.671806,1.4865,-0.793167,4.10426,100.99999999999997,2.6578947368421044,107,2.8157894736842106,,,,,,,,,,,,,,,,,,,Sam Aldegheri,26443,691951
Jean Cabrera,PHI,0.163583,1.0199,0.61584,4.97208,2.02684,2.02684,0,0,0,10.2307,45.1088,10.6013,6.14348,5.652,1.50701,4.08963,0.0727497,0.646363,7.20183,6.33546,3.59766,1.761,1.32572,0.159655,0.0906616,0.068993166,0.262586,1.43596,0.287214,0.679388,,,5.03094,0.0405679,0.0393465,999,0.891406,0.597409,1.3169,0.891406,-0.597409,3.24414,19.799999999999997,1.9799999999999998,23,2.3,,,,,,,,,,,,,,,,,,,Jean Cabrera,sa3015433,691893
Brody Hopkins,TBR,0.0792473,0.441675,0.469456,4.63041,1.35901,1.35901,0,0,0,6.52976,28.8964,6.16626,3.65162,3.35949,0.86787,3.10828,0.0254533,0.620228,5.71173,7.87251,4.28416,1.83758,1.19619,0.197663,0.107567,0.090096079,0.245005,1.42035,0.28504,0.697674,,,4.82653,0.0381869,0.036766,999,0.625224,-0.967885,1.3885,0.625224,0.967885,3.14867,23.9,3.414285714285714,22,3.142857142857143,,,,,,,,,,,,,,,,,,,Brody Hopkins,sa3023515,811315
