Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Jhony Brito,SDP,0.995831,0.985321,0,4.21656,16.6174,0.00289963,0,1.31144,0.443851,18.4841,78.7335,18.2082,9.41297,8.65993,2.22376,5.93799,0.380801,0.798485,15.015,7.31086,2.89124,2.52863,1.08276,0.190706,0.0754189,0.11528745293617249,0.252902,1.30632,0.291909,0.700484,,,4.16783,0.0474555,0.0414598,999,1.04264,-1.30339,1.21629,1.04264,1.30339,3.37828,74.80000000000003,4.155555555555557,77,4.277777777777778,,,,,,,,,,,,,,,,,,,Jhony Brito,25386,666745
Enyel De Los Santos,HOU,3.42392,2.63014,0,4.34126,56.6674,0,0.0544931,8.72055,1.96174,58.2455,247.943,53.8398,30.5385,28.0954,8.54496,21.6277,1.5092,2.98095,55.7455,8.61371,3.34188,2.57751,1.32035,0.224832,0.0872285,0.1376037374138832,0.241073,1.29568,0.284795,0.707492,,,4.39565,0.0455624,-0.132678,999,1.72429,-2.54937,0.505731,1.72429,2.54937,4.32569,251.10000000000005,4.329310344827587,246,4.241379310344827,,,,,,,,,,,,,,,,,,,Enyel De Los Santos,18403,660853
Jonathan Pintaro,NYM,0.765203,0.997463,0.378315,4.18637,16.1745,1.30866,0,1.04713,0,21.3446,93.4379,19.7883,10.7918,9.92849,2.45835,10.4704,0.182957,1.06638,20.5324,8.65755,4.41486,1.961,1.03657,0.219744,0.112057,0.10768711566925049,0.241612,1.41763,0.294176,0.725915,,,4.33,0.0454979,0.0498183,999,1.87419,-1.31451,1.13352,1.87419,1.31451,3.48864,91.80000000000001,4.371428571428572,92,4.380952380952381,,,,,,,,,,,,,,,,,,,Jonathan Pintaro,33980,702752
José Suarez,ATL,0.61653,0.733796,0.0612926,4.06998,14.7604,0.139412,0.0248015,1.13468,0,17.73,75.5745,16.9769,8.71508,8.01787,2.16348,6.27173,0.43556,0.731415,17.1043,8.68235,3.18361,2.7272,1.09821,0.226323,0.0829874,0.14333593845367432,0.24758,1.31126,0.300453,0.71878,,,3.977,0.0451977,0.055929,999,1.17699,-0.52858,1.24485,1.17699,0.52858,3.3402,81.40000000000002,4.522222222222223,81,4.5,,,,,,,,,,,,,,,,,,,Jose Suarez,19911,660761
Hayden Harris,ATL,1.15367,1.21711,0,3.96398,30.0055,0,0,1.42234,0,30.6502,130.796,26.86,14.6735,13.4996,3.71262,13.1591,0.361499,1.58488,31.9195,9.3727,3.864,2.42565,1.09016,0.24404,0.100608,0.14343198388814926,0.231447,1.30567,0.287831,0.727873,,,4.07011,0.0443564,0.14704,999,1.17933,-1.98484,1.05708,1.17933,1.98484,3.59056,133,4.290322580645161,126,4.064516129032258,,,,,,,,,,,,,,,,,,,Hayden Harris,31913,802686
Cionel Pérez,WSN,1.35558,1.399,0,4.33621,30.9354,0,0.587517,4.47248,1.13884,31.3758,139.769,30.5251,16.4314,15.1169,2.54437,16.1084,0.869341,1.83195,27.0958,7.7723,4.62063,1.68209,0.729842,0.193861,0.11525,0.078610852,0.250558,1.48629,0.303517,0.701211,,,4.17755,0.0441905,0.0377331,999,4.56768,-3.51309,0.930794,4.56768,3.51309,3.75894,132.89999999999998,4.2870967741935475,137,4.419354838709677,,,,,,,,,,,,,,,,,,,Cionel Perez,19614,672335
Easton McGee,MIL,1.00887,0.503547,0,4.17338,20.3201,0,0,0.865038,0,23.894,101.453,22.7187,12.0433,11.0799,2.78738,8.11855,0.824787,1.08371,19.9989,7.53286,3.05796,2.46336,1.0499,0.197126,0.0800232,0.11710267513990402,0.246272,1.29058,0.28693,0.697753,,,4.13308,0.0439029,0.0594647,999,1.11983,-0.383162,1.16373,1.11983,0.383162,3.44836,97.90000000000002,4.0791666666666675,98,4.083333333333333,,,,,,,,,,,,,,,,,,,Easton McGee,22176,668834
Franco Aleman,CLE,0.846189,1.16706,0,4.12724,15.2451,0,0,0.886208,0,15.9354,68.8377,14.3531,7.94314,7.30768,1.927,7.36042,0.402056,0.752268,16.8781,9.53243,4.15703,2.29309,1.08833,0.245187,0.106924,0.1382625624537468,0.236361,1.3626,0.296424,0.724158,,,4.11616,0.0438284,0.0153907,999,0.671434,-1.68387,1.21318,0.671434,1.68387,3.38243,71.4,4.4625,68,4.25,,,,,,,,,,,,,,,,,,,Franco Aleman,sa3018178,680916
John Klein,MIN,1.95457,2.46593,0.317595,4.52802,31.9534,1.49255,0,1.84467,0,40.0616,173.375,40.0353,21.9082,20.1555,5.44421,14.198,0.816991,2.56234,34.3853,7.72481,3.18964,2.42184,1.22307,0.19833,0.0818919,0.11643760651350021,0.25563,1.35375,0.296195,0.693503,,,4.44026,0.0438246,-0.0698332,999,1.20654,-0.1921,0.793306,1.20654,0.1921,3.94226,155.5,3.8875,160,4,,,,,,,,,,,,,,,,,,,John Klein,sa3020405,804619
Edgardo Henriquez,LAD,2.13082,2.21918,0,4.22578,34.8299,0,0.237979,4.40961,2.32885,35.4397,153.149,31.9579,18.087,16.6401,4.58408,16.314,0.324739,1.74779,36.2385,9.20284,4.14298,2.22131,1.16414,0.236622,0.106524,0.13009818643331528,0.236572,1.36209,0.290393,0.721192,,,4.30054,0.0437323,0.0295027,999,1.13986,-0.340041,0.84511,1.13986,0.340041,3.87319,148.3,4.2371428571428575,144,4.114285714285714,,,,,,,,,,,,,,,,,,,Edgardo Henriquez,26944,683618
